symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage,news_coverage,dates
AAPL,forward,2018-06,static,63,0.43981481481481477,-0.12099437854561525,0.2828187893607408,0.42857142857142855,0.3611111111111111,0.5185185185185185,0.4126984126984127,1.0,1.0,21
AAPL,forward,2018-06,gate,63,0.43981481481481477,-0.12099437854561525,0.2828187893607408,0.42857142857142855,0.3611111111111111,0.5185185185185185,0.4126984126984127,1.0,1.0,21
AAPL,forward,2018-06,price_cal,63,0.43981481481481477,-0.12099437854561525,0.2752500820916214,0.42857142857142855,0.3611111111111111,0.5185185185185185,0.4126984126984127,1.0,1.0,21
AAPL,forward,2018-06,static_cal,63,0.43981481481481477,-0.12099437854561525,0.2752500820916214,0.42857142857142855,0.3611111111111111,0.5185185185185185,0.4126984126984127,1.0,1.0,21
AAPL,forward,2018-06,gate_cal,63,0.43981481481481477,-0.12099437854561525,0.2752500820916214,0.42857142857142855,0.3611111111111111,0.5185185185185185,0.4126984126984127,1.0,1.0,21
AAPL,forward,2018-06,selected_system,63,0.4907407407407407,-0.018731716231633878,0.256047995943431,0.47619047619047616,0.3888888888888889,0.5925925925925926,0.3968253968253968,1.0,1.0,21
AAPL,forward,2018-06,constant,63,0.5,0.0,0.25,0.5714285714285714,1.0,0.0,1.0,1.0,1.0,21
AAPL,forward,2018-06,prior,63,0.5,0.0,0.24628378019925945,0.5714285714285714,1.0,0.0,1.0,1.0,1.0,21
AAPL,forward,2018-07,title,60,0.5274725274725275,0.05315774339537505,0.24867832804680784,0.5,0.4358974358974359,0.6190476190476191,0.4166666666666667,1.0,1.0,20
AAPL,forward,2018-07,price,60,0.5622710622710623,0.12326934324804635,0.25257126305587874,0.5166666666666667,0.41025641025641024,0.7142857142857143,0.36666666666666664,1.0,1.0,20
AAPL,forward,2018-07,old_integrated,60,0.5641025641025641,0.12403473458920845,0.24890894922288695,0.5333333333333333,0.46153846153846156,0.6666666666666666,0.4166666666666667,1.0,1.0,20
AAPL,forward,2018-07,old_body,60,0.554945054945055,0.10482848367219183,0.24052626453701736,0.55,0.5384615384615384,0.5714285714285714,0.5,1.0,1.0,20
AAPL,forward,2018-07,old_semantic,60,0.47985347985347987,-0.03863074974250641,0.27387296217055795,0.4666666666666667,0.4358974358974359,0.5238095238095238,0.45,1.0,1.0,20
AAPL,forward,2018-07,body,60,0.47985347985347987,-0.03863074974250641,0.25151484641427524,0.4666666666666667,0.4358974358974359,0.5238095238095238,0.45,1.0,1.0,20
AAPL,forward,2018-07,semantic,60,0.5622710622710623,0.12326934324804635,0.25257126305587874,0.5166666666666667,0.41025641025641024,0.7142857142857143,0.36666666666666664,1.0,1.0,20
AAPL,forward,2018-07,joint_body,60,0.5732600732600732,0.14824986333222023,0.25031218621819024,0.5166666666666667,0.38461538461538464,0.7619047619047619,0.3333333333333333,1.0,1.0,20
AAPL,forward,2018-07,joint_semantic,60,0.5622710622710623,0.12326934324804635,0.25257126305587874,0.5166666666666667,0.41025641025641024,0.7142857142857143,0.36666666666666664,1.0,1.0,20
AAPL,forward,2018-07,static,60,0.5622710622710623,0.12326934324804635,0.25257126305587874,0.5166666666666667,0.41025641025641024,0.7142857142857143,0.36666666666666664,1.0,1.0,20
AAPL,forward,2018-07,gate,60,0.5622710622710623,0.12326934324804635,0.25236246926221423,0.5166666666666667,0.41025641025641024,0.7142857142857143,0.36666666666666664,1.0,1.0,20
AAPL,forward,2018-07,price_cal,60,0.5531135531135531,0.10184470386660781,0.24832841543532364,0.5333333333333333,0.48717948717948717,0.6190476190476191,0.45,1.0,1.0,20
AAPL,forward,2018-07,static_cal,60,0.5531135531135531,0.10184470386660781,0.24832841543532364,0.5333333333333333,0.48717948717948717,0.6190476190476191,0.45,1.0,1.0,20
AAPL,forward,2018-07,gate_cal,60,0.5531135531135531,0.10184470386660781,0.24816737786292645,0.5333333333333333,0.48717948717948717,0.6190476190476191,0.45,1.0,1.0,20
AAPL,forward,2018-07,selected_system,60,0.5274725274725275,0.05315774339537505,0.24867832804680784,0.5,0.4358974358974359,0.6190476190476191,0.4166666666666667,1.0,1.0,20
AAPL,forward,2018-07,constant,60,0.5,0.0,0.25,0.65,1.0,0.0,1.0,1.0,1.0,20
AAPL,forward,2018-07,prior,60,0.5,0.0,0.23948137326515712,0.65,1.0,0.0,1.0,1.0,1.0,20
AAPL,forward,2018-08,title,69,0.5098039215686274,0.018475274304048998,0.23730918602646964,0.5942028985507246,0.6862745098039216,0.3333333333333333,0.6811594202898551,1.0,0.9855072463768116,23
